Datetime,PM10 (ug/m3),Predicted_Cases_Week1,Predicted_Cases_Week2,Predicted_Cases_Week3,Predicted_Cases_Week4,Predicted_Cases_Week8,Predicted_Cases_Week12
2016-10-09,9025.15,9660.094603864105,,,,,
2016-10-16,13539.67,14180.89254941053,9660.094603864105,,,,
2016-10-23,17183.25,17658.945172898748,14180.89254941053,9660.094603864105,,,
2016-10-30,14714.18,14017.66721073096,17658.945172898748,14180.89254941053,9660.094603864105,,
2016-11-06,9742.59,9937.908884076674,14017.66721073096,17658.945172898748,14180.89254941053,,
2016-11-13,15814.25,16892.462001935415,9937.908884076674,14017.66721073096,17658.945172898748,,
2016-11-20,13887.84,14382.605489746313,16892.462001935415,9937.908884076674,14017.66721073096,,
2016-11-27,16345.91,16066.648982750674,14382.605489746313,16892.462001935415,9937.908884076674,9660.094603864105,
2016-12-04,11570.35,11823.066451653734,16066.648982750674,14382.605489746313,16892.462001935415,14180.89254941053,
2016-12-11,13670.93,13520.922280269182,11823.066451653734,16066.648982750674,14382.605489746313,17658.945172898748,
2016-12-18,11034.51,11659.9353713575,13520.922280269182,11823.066451653734,16066.648982750674,14017.66721073096,
2016-12-25,8539.25,8455.996922208964,11659.9353713575,13520.922280269182,11823.066451653734,9937.908884076674,9660.094603864105
2017-01-01,15273.56,16275.264144112401,8455.996922208964,11659.9353713575,13520.922280269182,16892.462001935415,14180.89254941053
2017-01-08,14413.6,14746.207899949579,16275.264144112401,8455.996922208964,11659.9353713575,14382.605489746313,17658.945172898748
2017-01-15,13300.83,13926.903816812042,14746.207899949579,16275.264144112401,8455.996922208964,16066.648982750674,14017.66721073096
2017-01-22,13298.75,13623.209341959504,13926.903816812042,14746.207899949579,16275.264144112401,11823.066451653734,9937.908884076674
2017-01-29,11215.33,11393.162323151388,13623.209341959504,13926.903816812042,14746.207899949579,13520.922280269182,16892.462001935415
2017-02-05,12324.5,12689.51063814328,11393.162323151388,13623.209341959504,13926.903816812042,11659.9353713575,14382.605489746313
2017-02-12,14048.59,14781.11879063621,12689.51063814328,11393.162323151388,13623.209341959504,8455.996922208964,16066.648982750674
2017-02-19,12659.82,12505.533828829264,14781.11879063621,12689.51063814328,11393.162323151388,16275.264144112401,11823.066451653734
2017-02-26,13354.25,13126.197423466112,12505.533828829264,14781.11879063621,12689.51063814328,14746.207899949579,13520.922280269182
2017-03-05,8921.5,9042.98197906814,13126.197423466112,12505.533828829264,14781.11879063621,13926.903816812042,11659.9353713575
2017-03-12,7976.75,7584.667899476687,9042.98197906814,13126.197423466112,12505.533828829264,13623.209341959504,8455.996922208964
2017-03-19,8901.33,8125.416056082536,7584.667899476687,9042.98197906814,13126.197423466112,11393.162323151388,16275.264144112401
2017-03-26,13660.67,14283.363484597407,8125.416056082536,7584.667899476687,9042.98197906814,12689.51063814328,14746.207899949579
2017-04-02,9573.75,10068.424126022368,14283.363484597407,8125.416056082536,7584.667899476687,14781.11879063621,13926.903816812042
2017-04-09,11774.58,12000.782739871698,10068.424126022368,14283.363484597407,8125.416056082536,12505.533828829264,13623.209341959504
2017-04-16,17613.67,19620.08602520992,12000.782739871698,10068.424126022368,14283.363484597407,13126.197423466112,11393.162323151388
2017-04-23,14736.42,14366.469661769679,19620.08602520992,12000.782739871698,10068.424126022368,9042.98197906814,12689.51063814328
2017-04-30,15356.42,15161.032080099445,14366.469661769679,19620.08602520992,12000.782739871698,7584.667899476687,14781.11879063621
2017-05-07,10421.58,10710.507590026718,15161.032080099445,14366.469661769679,19620.08602520992,8125.416056082536,12505.533828829264
2017-05-14,9578.67,9599.370613790667,10710.507590026718,15161.032080099445,14366.469661769679,14283.363484597407,13126.197423466112
2017-05-21,5264.67,5268.913311414368,9599.370613790667,10710.507590026718,15161.032080099445,10068.424126022368,9042.98197906814
2017-05-28,11403.08,11301.960836697119,5268.913311414368,9599.370613790667,10710.507590026718,12000.782739871698,7584.667899476687
2017-06-04,6066.59,5878.464864175507,11301.960836697119,5268.913311414368,9599.370613790667,19620.08602520992,8125.416056082536
2017-06-11,5958.75,6123.941786162683,5878.464864175507,11301.960836697119,5268.913311414368,14366.469661769679,14283.363484597407
2017-06-18,5533.25,5810.825187592789,6123.941786162683,5878.464864175507,11301.960836697119,15161.032080099445,10068.424126022368
2017-06-25,6454.5,6585.1027839346625,5810.825187592789,6123.941786162683,5878.464864175507,10710.507590026718,12000.782739871698
2017-07-02,6498.75,6037.64266429583,6585.1027839346625,5810.825187592789,6123.941786162683,9599.370613790667,19620.08602520992
2017-07-16,5243.25,5552.066191441658,6037.64266429583,6585.1027839346625,5810.825187592789,5268.913311414368,14366.469661769679
2017-07-23,3522.75,3093.3383516333497,5552.066191441658,6037.64266429583,6585.1027839346625,11301.960836697119,15161.032080099445
2017-08-06,5035.08,5427.699451700491,3093.3383516333497,5552.066191441658,6037.64266429583,5878.464864175507,10710.507590026718
2017-08-13,8762.08,8995.144978912746,5427.699451700491,3093.3383516333497,5552.066191441658,6123.941786162683,9599.370613790667
2017-08-20,8498.83,9058.775844711023,8995.144978912746,5427.699451700491,3093.3383516333497,5810.825187592789,5268.913311414368
