,MAE,MAPE,RMSE,MSE
Week1,346.6334857299241,4.745285901197653,499.22943570224595,249230.02947158294
Week2,2600.8182961779116,43.838841669318775,3460.2058227065486,11973024.335492304
Week3,3015.172558534899,55.513505525053496,4086.5577261190065,16699954.048902944
Week4,3342.4453536843803,63.321174446898546,4498.051033739701,20232463.102126792
Week8,3532.2351203465455,56.01086723989047,4593.070258324286,21096294.397903126
Week12,3962.006605278618,67.01610020592193,5033.233789064612,25333442.375381716
