,MAE,MAPE,RMSE,MSE
Week1,392.13443728462147,6.576233737373576,567.0891210812581,321590.07124871376
Week2,2536.24243603588,43.6022397213022,3420.910455593025,11702628.345185677
Week3,2939.316368248895,53.76276774651964,3983.2988255571945,15866669.533685325
Week4,3254.9257962443407,61.09445300329873,4321.865955426433,18678525.33667404
Week8,3364.4119898038443,53.52704629484454,4355.94014409795,18974214.53896407
Week12,3766.765827708453,63.38275504903032,4794.652415611542,22988691.786529597
