,MAE,MAPE,RMSE,MSE
Week1,385.14111374683773,6.053078187142197,531.5600329060097,282556.06858303817
Week2,2486.1831660277176,43.82728904216146,3363.6588766608156,11314201.0385391
Week3,2916.478615834092,54.36163708632705,3975.707786303956,15806252.4020779
Week4,3251.0842826247585,60.52663469378346,4353.556561148083,18953454.731115524
Week8,3413.911365504426,53.84424314170839,4419.8387515713,19534974.589891348
Week12,3865.0246364676746,66.56406452506147,4862.4156855230685,23643086.298820775
