,MAE,MAPE,RMSE,MSE
Week1,217.3019855988878,3.3239176363044716,288.6370131581903,83311.32536488134
Week2,2569.705872597778,44.65505448017949,3462.665776665637,11990054.280891439
Week3,2965.664359292943,55.00033486761825,4037.1890434495094,16298895.372548766
Week4,3332.9480657676877,62.39015727075553,4435.481808372167,19673498.872400425
Week8,3489.374686542576,54.66573961328665,4516.1035573949775,20395191.341115575
Week12,3917.626138196894,65.65803391429222,4937.919461167903,24383048.604980715
