Datetime,PM10 (ug/m3),Predicted_Cases_Week1,Predicted_Cases_Week2,Predicted_Cases_Week3,Predicted_Cases_Week4,Predicted_Cases_Week8,Predicted_Cases_Week12
2016-10-09,9025.15,9793.018890427213,,,,,
2016-10-16,13539.67,13534.062734694628,9793.018890427213,,,,
2016-10-23,17183.25,17404.928580679567,13534.062734694628,9793.018890427213,,,
2016-10-30,14714.18,15283.561013529094,17404.928580679567,13534.062734694628,9793.018890427213,,
2016-11-06,9742.59,9901.377666242537,15283.561013529094,17404.928580679567,13534.062734694628,,
2016-11-13,15814.25,15590.426841870176,9901.377666242537,15283.561013529094,17404.928580679567,,
2016-11-20,13887.84,13889.31747388515,15590.426841870176,9901.377666242537,15283.561013529094,,
2016-11-27,16345.91,16673.81180520115,13889.31747388515,15590.426841870176,9901.377666242537,9793.018890427213,
2016-12-04,11570.35,11837.858749422592,16673.81180520115,13889.31747388515,15590.426841870176,13534.062734694628,
2016-12-11,13670.93,13456.24895679943,11837.858749422592,16673.81180520115,13889.31747388515,17404.928580679567,
2016-12-18,11034.51,11223.499322620879,13456.24895679943,11837.858749422592,16673.81180520115,15283.561013529094,
2016-12-25,8539.25,8456.272732453795,11223.499322620879,13456.24895679943,11837.858749422592,9901.377666242537,9793.018890427213
2017-01-01,15273.56,14905.76876985439,8456.272732453795,11223.499322620879,13456.24895679943,15590.426841870176,13534.062734694628
2017-01-08,14413.6,14296.402715734348,14905.76876985439,8456.272732453795,11223.499322620879,13889.31747388515,17404.928580679567
2017-01-15,13300.83,13419.930690940944,14296.402715734348,14905.76876985439,8456.272732453795,16673.81180520115,15283.561013529094
2017-01-22,13298.75,13310.213004085588,13419.930690940944,14296.402715734348,14905.76876985439,11837.858749422592,9901.377666242537
2017-01-29,11215.33,11260.726972931388,13310.213004085588,13419.930690940944,14296.402715734348,13456.24895679943,15590.426841870176
2017-02-05,12324.5,12277.378626006092,11260.726972931388,13310.213004085588,13419.930690940944,11223.499322620879,13889.31747388515
2017-02-12,14048.59,13613.216096018004,12277.378626006092,11260.726972931388,13310.213004085588,8456.272732453795,16673.81180520115
2017-02-19,12659.82,12685.295013205872,13613.216096018004,12277.378626006092,11260.726972931388,14905.76876985439,11837.858749422592
2017-02-26,13354.25,13243.875532606622,12685.295013205872,13613.216096018004,12277.378626006092,14296.402715734348,13456.24895679943
