From Date,PM10 (ug/m3)
2021-08-15,5209.5
2021-08-22,5023.25
2021-08-29,4429.58
2021-09-05,5980.17
2021-09-12,4030.67
2021-09-19,7783.92
2021-09-26,5358.83
2021-10-03,3606.66
2021-10-10,3916.75
2021-10-17,10259.67
2021-10-24,9484.5
2021-10-31,9444.5
2021-11-07,3258.75
2021-11-14,9764.25
2021-11-21,3487.42
2021-11-28,5134.0
2021-12-05,9152.42
2021-12-12,6057.25
2021-12-19,13224.25
2021-12-26,15909.0
2022-01-02,7634.17
2022-01-09,8992.75
2022-01-16,7623.58
2022-01-23,11118.25
2022-01-30,15344.67
2022-02-06,13548.25
2022-02-13,9309.75
2022-02-20,11003.75
2022-02-27,10938.25
2022-03-06,7375.75
2022-03-13,14076.25
2022-03-20,16755.67
2022-03-27,14644.08
2022-04-03,10415.25
2022-04-10,9382.5
2022-04-17,10167.0
2022-04-24,11305.25
2022-05-01,15266.25
2022-05-08,15432.67
2022-05-15,12333.25
2022-05-22,10325.41
2022-05-29,12264.17
2022-06-05,9285.42
2022-06-12,5563.33
2022-06-19,4267.75
2022-06-26,4231.33
2022-07-03,5264.75
2022-07-10,4599.75
2022-07-17,6280.5
2022-07-24,6929.17
2022-07-31,7692.75
2022-08-07,5374.5
2022-08-14,5932.5
2022-08-21,6929.25
2022-08-28,5276.33
2022-09-04,8509.5
2022-09-11,5221.0
2022-09-18,6515.25
2022-09-25,6821.0
2022-10-02,6813.92
2022-10-09,9375.75
2022-10-16,5763.75
2022-10-23,8256.5
2022-10-30,10634.75
2022-11-06,8062.5
2022-11-13,1287.5
2022-11-20,3542.0
2022-11-27,9787.0
2022-12-04,14148.33
2022-12-11,14552.0
2022-12-18,10215.0
2022-12-25,14136.25
2023-01-01,8325.5
2023-01-08,14354.0
2023-01-15,12807.5
2023-01-22,11228.75
2023-01-29,12800.75
2023-02-05,12660.25
2023-02-12,14153.0
2023-02-19,13745.0
2023-02-26,13848.25
2023-03-05,10773.75
2023-03-12,10489.25
2023-03-19,9159.41
2023-03-26,7025.0
2023-04-02,7508.0
